Layer,EntityType,GeometryType,VertexIndex,VertexCount,X,Y,Z,CoordinateSystem,IsClosed,Color
M2404,LWPOLYLINE,Polyline,0,2,626196.303,-197214.791,18851.237,IG05/12,No,BYLAYER
M2404,LWPOLYLINE,Polyline,1,2,626195.886,-197216.153,18851.237,IG05/12,No,BYLAYER
M2404,LINE,Line,0,2,223623.451,617546.166,0.0,IG05/12,Yes,BYLAYER
M2404,LINE,Line,1,2,223626.651,617545.014,0.0,IG05/12,Yes,BYLAYER
M2404,LWPOLYLINE,Polyline,0,3,579151.864,-308829.501,24050.581,IG05/12,No,BYLAYER
M2404,LWPOLYLINE,Polyline,1,3,579148.316,-308836.096,24050.581,IG05/12,No,BYLAYER
M2404,LWPOLYLINE,Polyline,2,3,579149.185,-308839.24,24050.581,IG05/12,No,BYLAYER
M2602,LINE,Line,0,2,223633.707,617530.915,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223633.303,617531.064,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223635.862,617538.001,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223633.13,617530.597,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223623.672,617541.064,574.122,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223624.06,617540.933,574.202,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223623.247,617538.684,574.472,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223622.849,617538.826,574.435,IG05/12,Yes,BYLAYER
M2602,LWPOLYLINE,Polyline,0,3,563671.167,-326598.425,83519.88,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,1,3,563661.16,-326592.179,83519.88,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,2,3,563650.018,-326585.333,83519.88,IG05/12,No,BYLAYER
M2602,LINE,Line,0,2,223618.426,617525.318,576.191,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223617.98,617525.457,576.295,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223629.013,617518.552,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223627.856,617515.269,0.0,IG05/12,Yes,BYLAYER
M2602,LWPOLYLINE,Polyline,0,3,656288.968,24932.874,-1014.874,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,1,3,656295.917,24933.286,-1014.874,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,2,3,656296.048,24930.785,-1014.874,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,0,3,-656741.253,211.692,5022.953,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,1,3,-656754.621,209.951,5022.953,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,2,3,-656766.328,208.626,5022.953,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,0,3,656295.622,24930.764,-1014.874,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,1,3,656295.514,24932.835,-1014.874,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,2,3,656288.993,24932.448,-1014.874,IG05/12,No,BYLAYER
M2602,LINE,Line,0,2,223629.406,617518.417,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223628.245,617515.125,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223636.266,617537.85,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223633.537,617530.456,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223622.146,617542.547,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223622.546,617542.401,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223624.315,617542.81,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223624.689,617542.673,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223625.581,617540.888,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223625.985,617540.743,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223618.926,617520.965,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223618.523,617521.102,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,0,2,223620.467,617536.732,0.0,IG05/12,Yes,BYLAYER
M2602,LINE,Line,1,2,223620.068,617536.88,0.0,IG05/12,Yes,BYLAYER
M2602,LWPOLYLINE,Polyline,0,3,-656777.921,446.698,789.29,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,1,3,-656781.903,446.808,789.29,IG05/12,No,BYLAYER
M2602,LWPOLYLINE,Polyline,2,3,-656783.959,446.805,789.29,IG05/12,No,BYLAYER
M2602,LINE,Line,0,2,223620.068,617536.88,0.0,IG05/12,Yes,BYLAYER
